Transaction_ID,Customer_ID,Customer_Name,Gender,Age,Account_Type,Branch_ID,Branch_Name,City,Transaction_Date,Transaction_Time,Transaction_Type,Channel,Amount,Balance_Before,Balance_After,Merchant_Category,Transaction_Status,Device_Type,Fraud_Flag,Risk_Score,Loan_Customer,Credit_Score,Salary_Band,Customer_Segment
TXN000038,CUST4793,Kavya Iyer,Female,60,Current,BR109,Shivajinagar Branch,Hyderabad,2024-04-29,03:02:55,Transfer,UPI,21801.92,268053.88,289855.8,Dining,Failed,iPhone,No,48,Yes,484,20+ LPA,Retail
TXN000039,CUST7852,Ishita Jain,Female,57,Current,BR111,MG Road Branch,Ahmedabad,2025-07-29,00:13:29,Transfer,Internet Banking,40442.22,203182.67,243624.89,Dining,Failed,Tablet,No,51,No,814,3-6 LPA,Retail
TXN000040,CUST9693,Neha Singh,Female,46,Savings,BR102,Fort Branch,Chennai,2024-10-31,16:41:11,Transfer,Internet Banking,69666.92,342109.4,411776.32,Retail,Failed,Desktop,No,7,No,848,20+ LPA,Corporate
TXN000041,CUST1318,Neha Singh,Female,60,Current,BR107,MG Road Branch,Chennai,2024-03-31,11:19:29,Transfer,Branch,39422.79,365236.63,404659.42,Education,Success,Desktop,No,100,No,528,3-6 LPA,Premium
TXN000042,CUST8517,Vivaan Patel,Male,27,Savings,BR111,Connaught Place Branch,Hyderabad,2024-08-13,17:21:47,Deposit,Mobile Banking,98504.65,149265.51,247770.16,Utilities,Success,Desktop,No,12,Yes,313,10-20 LPA,Corporate
TXN000043,CUST1245,Aarav Sharma,Male,27,Savings,BR110,MG Road Branch,Kolkata,2024-01-20,12:13:28,Payment,UPI,58294.93,443409.33,385114.4,Grocery,Failed,iPhone,No,1,Yes,506,3-6 LPA,Premium
TXN000044,CUST4508,Priya Nair,Female,48,Savings,BR118,Banjara Hills Branch,Bengaluru,2025-05-16,06:33:37,Deposit,UPI,29196.94,287193.22,316390.16,Utilities,Success,Tablet,No,12,Yes,820,0-3 LPA,Corporate
TXN000045,CUST2991,Vivaan Patel,Male,33,Current,BR105,Connaught Place Branch,Kolkata,2024-10-12,05:26:57,Transfer,UPI,5671.73,367199.23,372870.96,Grocery,Success,iPhone,Yes,1,No,584,0-3 LPA,HNI
TXN000046,CUST6727,Pooja Yadav,Female,45,Savings,BR103,Shivajinagar Branch,Chennai,2024-03-12,12:29:06,Deposit,UPI,48227.89,265802.93,314030.82,Grocery,Failed,Android,No,44,No,668,0-3 LPA,HNI
TXN000047,CUST4535,Aditi Mishra,Female,40,Current,BR111,Shivajinagar Branch,Pune,2025-05-05,09:00:47,Deposit,Internet Banking,95451.75,354923.77,450375.52,Grocery,Success,iPhone,Yes,48,Yes,876,10-20 LPA,Corporate
TXN000048,CUST2130,Vikram Reddy,Male,53,Current,BR111,MG Road Branch,Kolkata,2024-02-21,11:43:05,Transfer,Internet Banking,33019.24,172774.2,205793.44,Grocery,Success,Desktop,Yes,34,Yes,384,10-20 LPA,Retail
TXN000049,CUST7946,Neha Singh,Female,45,Current,BR115,Shivajinagar Branch,Ahmedabad,2025-06-09,15:57:55,Withdrawal,Mobile Banking,78694.57,302644.25,223949.68,Grocery,Pending,iPhone,No,20,No,605,20+ LPA,Premium
TXN000050,CUST2908,Ananya Gupta,Female,31,Current,BR117,Banjara Hills Branch,Ahmedabad,2024-03-08,02:56:51,Withdrawal,Mobile Banking,9263.39,239690.03,230426.64,Dining,Success,Tablet,Yes,10,Yes,365,10-20 LPA,Premium
TXN000051,CUST3422,Rohan Joshi,Male,64,Savings,BR119,Shivajinagar Branch,Bengaluru,2025-11-20,23:20:50,Deposit,UPI,73365.25,377344.54,450709.79,Dining,Success,Tablet,No,13,No,716,0-3 LPA,Retail
TXN000052,CUST6442,Pooja Yadav,Female,50,Savings,BR101,Connaught Place Branch,Bengaluru,2025-11-26,19:13:13,Deposit,POS,56615.26,172828.65,229443.91,Utilities,Failed,Desktop,No,62,Yes,662,10-20 LPA,Retail
TXN000053,CUST4962,Kavya Iyer,Female,55,Current,BR109,Fort Branch,Bengaluru,2024-07-27,20:54:36,Payment,Mobile Banking,79002.24,429570.22,350567.98,Retail,Pending,Desktop,Yes,72,Yes,425,3-6 LPA,HNI
TXN000054,CUST9214,Priya Nair,Female,28,Savings,BR113,Banjara Hills Branch,Kolkata,2024-12-22,08:25:23,Withdrawal,Branch,92097.05,470397.42,378300.37,Education,Pending,Desktop,No,71,No,786,20+ LPA,Corporate
TXN000055,CUST4868,Ananya Gupta,Female,62,Current,BR105,Connaught Place Branch,Mumbai,2025-09-11,23:41:58,Payment,POS,72979.88,197523.64,124543.76,Healthcare,Failed,Tablet,No,97,No,391,0-3 LPA,HNI
TXN000056,CUST7894,Vikram Reddy,Male,31,Savings,BR107,Connaught Place Branch,Ahmedabad,2025-12-31,14:24:28,Transfer,UPI,86427.64,161395.48,247823.12,E-commerce,Pending,Tablet,No,27,No,798,6-10 LPA,HNI
TXN000057,CUST9617,Sneha Kulkarni,Female,60,Current,BR118,Banjara Hills Branch,Mumbai,2024-07-11,08:33:35,Deposit,UPI,69293.49,278946.38,348239.87,E-commerce,Success,iPhone,No,66,No,894,20+ LPA,Premium
TXN000058,CUST7403,Tanvi Patil,Female,54,Current,BR107,MG Road Branch,Mumbai,2025-06-24,09:37:14,Payment,Branch,83862.91,350792.73,266929.82,Education,Failed,Desktop,No,33,No,685,0-3 LPA,Premium
TXN000059,CUST7260,Priya Nair,Female,64,Current,BR101,Banjara Hills Branch,Ahmedabad,2024-09-16,04:21:02,Payment,ATM,86188.08,274068.59,187880.51,Education,Failed,Android,Yes,57,No,552,6-10 LPA,HNI
TXN000060,CUST4905,Ananya Gupta,Female,37,Current,BR102,Shivajinagar Branch,Pune,2024-09-15,20:03:18,Deposit,POS,66476.18,329181.18,395657.36,Utilities,Success,iPhone,No,70,Yes,595,6-10 LPA,HNI
TXN000061,CUST5208,Sneha Kulkarni,Female,49,Savings,BR107,Connaught Place Branch,Pune,2025-09-24,01:05:57,Payment,Branch,86354.99,469459.88,383104.89,Dining,Success,Desktop,No,29,Yes,417,20+ LPA,Retail
TXN000062,CUST5089,Vikram Reddy,Male,44,Savings,BR113,MG Road Branch,Ahmedabad,2024-01-24,02:02:01,Deposit,Branch,98497.55,81940.18,180437.73,E-commerce,Failed,Android,No,21,Yes,887,6-10 LPA,Retail
TXN000063,CUST3164,Nikhil Chavan,Male,43,Savings,BR108,Connaught Place Branch,Chennai,2025-08-01,05:31:39,Payment,UPI,98650.63,51995.73,0,Travel,Pending,Desktop,Yes,36,No,593,20+ LPA,Corporate
TXN000064,CUST9468,Neha Singh,Female,23,Savings,BR102,Connaught Place Branch,Bengaluru,2024-10-20,08:16:34,Transfer,POS,36562.73,9565.8,46128.53,Dining,Failed,Android,No,44,Yes,662,3-6 LPA,Premium
TXN000065,CUST5192,Neha Singh,Female,42,Current,BR112,Shivajinagar Branch,Hyderabad,2025-01-06,02:00:15,Payment,POS,8770.16,85775.05,77004.89,Dining,Pending,Tablet,No,70,Yes,382,0-3 LPA,Premium
TXN000066,CUST9035,Ananya Gupta,Female,32,Savings,BR107,MG Road Branch,Hyderabad,2024-02-19,11:37:32,Transfer,Mobile Banking,56017.03,476548.47,532565.5,Dining,Success,iPhone,Yes,72,Yes,585,20+ LPA,Retail
TXN000067,CUST5864,Sneha Kulkarni,Female,64,Current,BR103,Shivajinagar Branch,Chennai,2024-02-03,00:55:10,Transfer,Internet Banking,41955.34,315729.1,357684.44,Utilities,Success,Desktop,No,81,Yes,843,10-20 LPA,Corporate
TXN000068,CUST6763,Aditya Verma,Male,51,Current,BR119,Connaught Place Branch,Hyderabad,2024-08-17,12:01:22,Transfer,POS,1202.82,481348.87,482551.69,Utilities,Success,Android,No,50,Yes,514,20+ LPA,Retail
TXN000069,CUST5276,Ananya Gupta,Female,33,Savings,BR101,Banjara Hills Branch,Mumbai,2024-05-23,16:36:08,Withdrawal,ATM,89075.6,206200.12,117124.52,Dining,Failed,Desktop,Yes,44,Yes,661,10-20 LPA,Premium
TXN000070,CUST6354,Nikhil Chavan,Male,45,Savings,BR117,Shivajinagar Branch,Hyderabad,2024-07-18,07:59:37,Transfer,POS,57839.77,270656.48,328496.25,Healthcare,Pending,Android,No,17,Yes,474,6-10 LPA,HNI
TXN000071,CUST4341,Karan Malhotra,Male,25,Current,BR111,Fort Branch,Pune,2025-05-29,11:47:55,Withdrawal,ATM,4612.88,267951.83,263338.95,Healthcare,Success,iPhone,No,80,Yes,507,6-10 LPA,Premium
TXN000072,CUST3093,Rohan Joshi,Male,52,Current,BR101,Banjara Hills Branch,Mumbai,2024-01-31,01:50:46,Withdrawal,Internet Banking,60464.44,261184.21,200719.77,Travel,Failed,Desktop,No,3,Yes,672,6-10 LPA,Corporate
TXN000073,CUST1957,Pooja Yadav,Female,33,Savings,BR115,MG Road Branch,Chennai,2024-08-08,18:32:09,Withdrawal,UPI,72987.28,20085.25,0,Travel,Success,iPhone,No,67,Yes,348,0-3 LPA,Corporate
TXN000074,CUST8574,Aarav Sharma,Male,63,Current,BR101,Banjara Hills Branch,Hyderabad,2025-04-09,22:43:15,Deposit,Branch,12001.52,487411.36,499412.88,E-commerce,Pending,Desktop,No,81,Yes,818,6-10 LPA,HNI
TXN000075,CUST4662,Tanvi Patil,Female,59,Current,BR106,MG Road Branch,Chennai,2024-02-09,17:43:10,Withdrawal,Mobile Banking,78077.28,22816.11,0,Utilities,Failed,Tablet,No,92,Yes,563,10-20 LPA,Corporate
TXN000076,CUST8422,Vivaan Patel,Male,27,Savings,BR105,MG Road Branch,Hyderabad,2024-09-03,08:14:00,Payment,POS,10193.61,418602.95,408409.34,Dining,Success,Android,No,19,Yes,373,3-6 LPA,Corporate
TXN000077,CUST6482,Ananya Gupta,Female,34,Savings,BR106,MG Road Branch,Kolkata,2025-06-23,15:01:21,Withdrawal,UPI,15349.48,198123.51,182774.03,Retail,Success,Desktop,No,91,No,854,20+ LPA,Corporate
TXN000078,CUST3910,Vikram Reddy,Male,22,Savings,BR116,Connaught Place Branch,Delhi,2025-07-29,12:34:09,Deposit,Mobile Banking,14932.33,273174.45,288106.78,Utilities,Success,Tablet,No,19,Yes,607,10-20 LPA,HNI
TXN000079,CUST9022,Rahul Mehta,Male,55,Current,BR111,Connaught Place Branch,Chennai,2025-01-31,02:19:50,Payment,Mobile Banking,90971.82,191642.58,100670.76,Education,Failed,Desktop,No,65,Yes,771,20+ LPA,HNI
TXN000080,CUST2732,Karan Malhotra,Male,40,Current,BR109,Shivajinagar Branch,Kolkata,2025-03-11,06:45:25,Payment,POS,63055.2,222495.58,159440.38,Grocery,Failed,Android,Yes,48,Yes,407,0-3 LPA,Corporate
TXN000081,CUST1090,Siddharth Rao,Male,25,Current,BR119,Shivajinagar Branch,Delhi,2024-10-30,03:08:42,Payment,Internet Banking,26650.58,199140.46,172489.88,Grocery,Success,Desktop,No,14,No,493,3-6 LPA,HNI
TXN000082,CUST1382,Vikram Reddy,Male,60,Current,BR120,Connaught Place Branch,Chennai,2025-11-25,23:46:15,Transfer,Mobile Banking,24962.17,303853.27,328815.44,E-commerce,Failed,iPhone,No,23,Yes,355,20+ LPA,Corporate
TXN000083,CUST8564,Siddharth Rao,Male,28,Savings,BR107,MG Road Branch,Chennai,2025-06-19,16:16:10,Payment,UPI,81861.2,190371.15,108509.95,Travel,Success,Android,No,56,Yes,698,0-3 LPA,Retail
TXN000084,CUST8527,Kavya Iyer,Female,52,Savings,BR105,Fort Branch,Pune,2025-12-19,23:50:14,Withdrawal,Branch,43714.49,189027.33,145312.84,Utilities,Pending,iPhone,No,73,Yes,769,20+ LPA,Premium
TXN000085,CUST8947,Karan Malhotra,Male,56,Current,BR106,Banjara Hills Branch,Delhi,2025-09-11,10:34:49,Payment,POS,69621.47,379350.3,309728.83,E-commerce,Success,iPhone,No,55,No,372,10-20 LPA,Corporate
TXN000086,CUST5201,Arjun Deshmukh,Male,43,Savings,BR110,MG Road Branch,Hyderabad,2025-07-13,22:24:02,Transfer,Internet Banking,20860.19,140344.89,161205.08,Education,Failed,Tablet,No,57,Yes,558,3-6 LPA,HNI
TXN000087,CUST6144,Sneha Kulkarni,Female,39,Savings,BR117,Fort Branch,Chennai,2024-10-06,12:59:52,Withdrawal,POS,64828.75,92455.39,27626.64,E-commerce,Pending,Desktop,No,5,No,583,20+ LPA,Premium
TXN000088,CUST4828,Sneha Kulkarni,Female,36,Savings,BR102,Banjara Hills Branch,Hyderabad,2025-10-20,04:27:11,Deposit,Branch,7209.31,214499.84,221709.15,Utilities,Success,Desktop,No,50,Yes,479,6-10 LPA,Retail
TXN000089,CUST2247,Ananya Gupta,Female,57,Savings,BR114,Connaught Place Branch,Ahmedabad,2025-05-07,00:50:53,Transfer,POS,9841.71,335970.22,345811.93,Healthcare,Success,Tablet,Yes,15,No,539,20+ LPA,Corporate
TXN000090,CUST7400,Siddharth Rao,Male,49,Savings,BR102,MG Road Branch,Hyderabad,2025-02-20,19:51:26,Payment,UPI,43309.22,243776.12,200466.9,Grocery,Failed,Android,Yes,67,No,382,0-3 LPA,Retail
TXN000091,CUST2054,Kavya Iyer,Female,29,Current,BR101,Connaught Place Branch,Mumbai,2025-05-11,21:55:53,Payment,POS,42002.45,140915.42,98912.97,Healthcare,Success,Desktop,No,62,Yes,676,0-3 LPA,Corporate
TXN000092,CUST9351,Ananya Gupta,Female,46,Current,BR107,Fort Branch,Chennai,2024-08-10,17:16:40,Withdrawal,Mobile Banking,61175.41,235433.8,174258.39,Education,Failed,iPhone,No,82,Yes,459,6-10 LPA,HNI
TXN000093,CUST3205,Aarav Sharma,Male,25,Savings,BR120,Banjara Hills Branch,Mumbai,2025-08-07,08:49:37,Withdrawal,UPI,56265.51,255589.23,199323.72,Healthcare,Pending,iPhone,No,45,No,605,20+ LPA,HNI
TXN000094,CUST2277,Neha Singh,Female,53,Savings,BR107,Fort Branch,Ahmedabad,2025-04-23,07:58:47,Withdrawal,Branch,96556.43,221785.11,125228.68,Healthcare,Pending,Tablet,No,92,No,836,10-20 LPA,HNI
TXN000095,CUST8071,Pooja Yadav,Female,63,Savings,BR118,MG Road Branch,Bengaluru,2024-09-02,04:50:59,Transfer,UPI,73686.15,210968.26,284654.41,Education,Pending,Android,No,67,Yes,541,10-20 LPA,HNI
TXN000096,CUST1224,Karan Malhotra,Male,21,Savings,BR119,Banjara Hills Branch,Ahmedabad,2024-08-23,23:31:13,Payment,UPI,47106.85,470759.95,423653.1,Dining,Success,Android,No,47,Yes,636,20+ LPA,HNI
TXN000097,CUST6503,Karan Malhotra,Male,39,Savings,BR119,Connaught Place Branch,Kolkata,2025-08-28,05:34:25,Payment,Mobile Banking,1358.32,289840.21,288481.89,Healthcare,Success,Android,No,39,No,418,3-6 LPA,HNI
TXN000098,CUST6893,Meera Kapoor,Female,33,Savings,BR119,Fort Branch,Delhi,2025-02-24,17:48:40,Payment,Internet Banking,68199.89,180855.81,112655.92,Utilities,Pending,iPhone,No,83,No,716,6-10 LPA,HNI
TXN000099,CUST5911,Aditya Verma,Male,47,Current,BR108,Shivajinagar Branch,Mumbai,2025-07-19,14:34:02,Transfer,UPI,89783.4,419168.09,508951.49,Retail,Failed,iPhone,Yes,70,No,519,6-10 LPA,Premium
TXN000100,CUST1664,Rohan Joshi,Male,63,Savings,BR103,Shivajinagar Branch,Chennai,2024-02-08,21:37:44,Deposit,ATM,53595.68,103423.65,157019.33,Education,Pending,Tablet,No,19,No,545,20+ LPA,HNI
TXN000101,CUST3536,Nikhil Chavan,Male,28,Savings,BR116,Shivajinagar Branch,Chennai,2024-02-03,09:23:17,Payment,POS,65391.51,164450.4,99058.89,Healthcare,Success,Desktop,No,20,No,698,20+ LPA,Premium
TXN000102,CUST7461,Karan Malhotra,Male,40,Current,BR120,MG Road Branch,Hyderabad,2025-10-06,11:58:16,Transfer,Mobile Banking,45946.36,295800.71,341747.07,Grocery,Success,Tablet,No,9,No,833,3-6 LPA,Retail
TXN000103,CUST7502,Vikram Reddy,Male,46,Current,BR112,Banjara Hills Branch,Hyderabad,2025-04-04,17:26:38,Transfer,ATM,10343.66,459102.74,469446.4,Education,Pending,Android,No,66,No,641,0-3 LPA,Corporate
TXN000104,CUST7260,Kavya Iyer,Female,62,Current,BR102,Banjara Hills Branch,Delhi,2024-12-13,16:12:40,Deposit,ATM,52062.56,142767.16,194829.72,Healthcare,Failed,Desktop,Yes,55,Yes,397,20+ LPA,Corporate
TXN000105,CUST5273,Kavya Iyer,Female,32,Savings,BR107,Banjara Hills Branch,Bengaluru,2025-04-05,04:10:45,Payment,Branch,19234.61,36323.74,17089.13,Dining,Success,iPhone,No,82,Yes,689,20+ LPA,Premium
TXN000106,CUST4130,Priya Nair,Female,45,Savings,BR114,Shivajinagar Branch,Mumbai,2024-11-25,04:53:46,Payment,POS,70763.41,472313.1,401549.69,Travel,Pending,Android,No,30,Yes,327,0-3 LPA,Corporate
TXN000107,CUST4763,Sneha Kulkarni,Female,21,Savings,BR102,MG Road Branch,Delhi,2025-08-05,03:27:09,Transfer,POS,31980.31,277724.9,309705.21,Grocery,Pending,iPhone,Yes,39,No,685,6-10 LPA,Corporate
TXN000108,CUST6577,Ananya Gupta,Female,62,Savings,BR113,Shivajinagar Branch,Mumbai,2024-10-23,08:54:06,Withdrawal,ATM,58789.98,324205.6,265415.62,Utilities,Success,iPhone,Yes,44,Yes,440,0-3 LPA,HNI
TXN000109,CUST1611,Siddharth Rao,Male,27,Current,BR120,Connaught Place Branch,Mumbai,2024-09-16,03:41:54,Deposit,UPI,92788.48,302714.4,395502.88,Utilities,Failed,iPhone,No,16,Yes,799,6-10 LPA,Premium
TXN000110,CUST4508,Arjun Deshmukh,Male,55,Current,BR113,Banjara Hills Branch,Delhi,2024-08-25,14:57:01,Payment,UPI,20344.39,233424.3,213079.91,E-commerce,Success,Android,No,81,No,458,6-10 LPA,Premium
TXN000111,CUST7560,Vikram Reddy,Male,60,Current,BR106,Fort Branch,Bengaluru,2025-10-04,22:17:47,Deposit,Branch,56998.84,370214.18,427213.02,E-commerce,Failed,Desktop,No,1,Yes,617,3-6 LPA,Retail
TXN000112,CUST7906,Neha Singh,Female,29,Savings,BR116,MG Road Branch,Hyderabad,2025-01-16,20:57:01,Deposit,Mobile Banking,22484.44,348350.62,370835.06,Dining,Failed,iPhone,No,9,No,842,20+ LPA,HNI
